VILLE,QUARTIER,NOUVEAU CODE POSTAL
RABAT,QUARTIER ATLAL,10190
RABAT,QUARTIER KRIMATE,10190
RABAT,QUARTIER YOUSSOUFIA EST,10190
RABAT,QUARTIER YOUSSOUFIA OUEST,10190
RABAT,KSAR LABHAR,10200
RABAT,QUARTIER 10 B3,10200
RABAT,QUARTIER 11B3,10200
RABAT,QUARTIER 12B3,10200
RABAT,QUARTIER 13B3,10200
RABAT,QUARTIER 14B3,10200
RABAT,QUARTIER 15 B3,10200
RABAT,QUARTIER 16B3,10200
RABAT,QUARTIER 17B2,10200
RABAT,QUARTIER 18B3,10200
RABAT,QUARTIER 19B3,10200
RABAT,QUARTIER 1B1,10200
RABAT,QUARTIER 1B2,10200
RABAT,QUARTIER 1B3,10200
RABAT,QUARTIER 20B3,10200
RABAT,QUARTIER 25B2,10200
RABAT,QUARTIER 26B3,10200
RABAT,QUARTIER 2B1,10200
RABAT,QUARTIER 2B2,10200
RABAT,QUARTIER 3B1,10200
RABAT,QUARTIER 4B1,10200
RABAT,QUARTIER 4B2,10200
RABAT,QUARTIER 5B1,10200
RABAT,QUARTIER 5B2,10200
RABAT,QUARTIER 6B2,10200
RABAT,QUARTIER 8B3,10200
RABAT,QUARTIER 9B3,10200
RABAT,QUARTIER AL FARAH,10200
RABAT,QUARTIER AL INBIAT,10200
RABAT,QUARTIER AL WAHDA,10200
RABAT,QUARTIER EL MOUADDA,10200
RABAT,QUARTIER ERRACHAD,10200
RABAT,QUARTIER SBAI,10200
RABAT,QUARTIER TAKADOUM,10200
RABAT,QUARTIER AL BOUSTANE,10210
RABAT,QUARTIER AL WAHA,10210
RABAT,QUARTIER ALBANAFSAJ,10210
RABAT,QUARTIER ALKAMILIA,10210
RABAT,QUARTIER ALMARJANE,10210
RABAT,QUARTIER ALOKHOANE,10210
RABAT,QUARTIER ALOUARDA,10210
RABAT,QUARTIER ALYAMAMA,10210
RABAT,QUARTIER ALYASAMINE,10210
RABAT,QUARTIER ANARJISS,10210
RABAT,QUARTIER ANNAKHIL,10210
RABAT,QUARTIER ANOUAMANE,10210
RABAT,QUARTIER ARAIHANE,10210
RABAT,QUARTIER AZZAHRA,10210
RABAT,QUARTIER AEEAITOUNE,10210
RABAT,QUARTIER ENAKHIL I,10210
RABAT,QUARTIER ENNAHDA I,10210
RABAT,QUARTIER ENNAHDA II,10210
RABAT,QUARTIER ENNAHDA III,10210
RABAT,QUARTIER ESSALAM,10210
RABAT,QUARTIER EZZAITOUNE,10210
RABAT,QUARTIER FADESA,10210
RABAT,QUARTIER FEKHARA,10210
RABAT,QUARTIER INDUSTRIEL,10210
RABAT,QUARTIER KASBA,10210
RABAT,QUARTIER RABIA,10210
RABAT,KASBAT OUDAYA,10220
RABAT,QUARTIER AIN KHALLOUIA,10220
RABAT,QUARTIER LES AMBASSADEURS,10220
SALE,BLED BENSAID,11000
SALE,BLED EL GHARBI,11000
SALE,BLED FABI,11000
SALE,HAY MOULAY ABDELLAH,11000
SALE,LOT EL KOUMIR,11000
SALE,LOT MARRAKCHI,11000
SALE,LOT OUM EL KHEIR,11000
SALE,LOT SAFA 2,11000
SALE,QUARTIER BASMA,11000
SALE,QUARTIER BELLAMINE,11000
SALE,QUARTIER BEN SAID,11000
SALE,QUARTIER DIAR 1 ,11000
SALE,QUARTIER DIAR 2,11000
SALE,QUARTIER DIYAR ,11000
SALE,QUARTIER ISLAH,11000
SALE,QUARTIER LAALOU,11000
SALE,QUARTIER LONGEVILLE,11000
SALE,QUARTIER LONGEVILLE,11000
SALE,QUARTIER MAHA,11000
SALE,QUARTIER MARHABA,11000
SALE,QUARTIER MIFTAH EL KHIR,11000
SALE,QUARTIER MOHAMMED 5,11000
SALE,QUARTIER OMAR 2,11000
SALE,QUARTIER OMAR II,11000
SALE,QUARTIER PEPINNIERES,11000
SALE,QUARTIER RENE DIX,11000
SALE,QUARTIER SAFAE 2,11000
SALE,QUARTIER TABRIQUET 1,11000
SALE,SANIAT II,11000
SALE,SANIAT II,11000
SALE,ARSATE AL MAHATA,11010
SALE,BLED SBIHI,11010
SALE,BLED ZNIBER,11010
SALE,DIOUR ANNAJJAR,11010
SALE,HAY EL HOURRIA,11010
SALE,HAY EL QODS,11010
SALE,HAY LALLA AICHA,11010
SALE,HAY RIZQ,11010
SALE,LOT AL MAHATA,11010
SALE,LOT BOUREGUREG,11010
SALE,QUARTIER 20 AOUT,11010
SALE,QUARTIER ALBOUCHRA,11010
SALE,QUARTIER ATLAS,11010
SALE,QUARTIER AZILAL,11010
SALE,QUARTIER BAINA,11010
SALE,QUARTIER BOUBKER NEJJAR,11010
SALE,QUARTIER BOUCHRA,11010
SALE,QUARTIER CHMAOU,11010
SALE,QUARTIER CIGOGNE,11010
SALE,QUARTIER EDDOHA 2,11010
SALE,QUARTIER EL MAMOUNIA,11010
SALE,QUARTIER ENNAKHIL,11010
SALE,QUARTIER ESSALAM,11010
SALE,QUARTIER EZAHRA,11010
SALE,QUARTIER HOURIA,11010
SALE,QUARTIER INTISSAR,11010
SALE,QUARTIER KIFAH,11010
SALE,QUARTIER LA CIGOGNE,11010
SALE,QUARTIER MABROUKA,11010
SALE,QUARTIER MAHJOUBA,11010
SALE,QUARTIER MANSOUR,11010
SALE,QUARTIER MARAH,11010
SALE,QUARTIER MEFTAHA,11010
SALE,QUARTIER MESBAH,11010
SALE,QUARTIER MOHAMMED CINQ,11010
SALE,QUARTIER MORYAN,11010
SALE,QUARTIER NAHDA,11010
SALE,QUARTIER NASR,11010
SALE,QUARTIER RAS EL MAE,11010
SALE,QUARTIER RIAD SALA,11010
SALE,QUARTIER ROUSTAL,11010
SALE,QUARTIER SALE TABRIQUET,11010
SALE,QUARTIER SALMA,11010
SALE,QUARTIER SMARA,11010
SALE,QUARTIER TABRIQUET 2,11010
SALE,QUARTIER TOKA,11010
SALE,QUARTIER WAFA,11010
SALE,QUARTIER YASMINA,11010
SALE,QUARTIER ANNAKHIL,11010
SALE,RIAD SALA ,11010
SALE,SECTEUR B 4,11010
SALE,SECTEUR C 4,11010
SALE,SECTEUR D 4,11010
SALE,SECTEUR F,11010
SALE,BLED BENDAOUD DAR EL HAMRA,11020
SALE,HAY KARIMA,11020
SALE,HAY LAFROUGUI,11020
SALE,LOT ASSA,11020
SALE,LOT BENDAHMANE,11020
SALE,QUARTIER CHEIKH LAMFADDAL,11020
SALE,QUARTIER INDUSTRIEL,11020
SALE,BLED EL HAJ EL GUEZZAR,11030
SALE,HAY EL ANDALOUS,11030
SALE,HAY ESSALAM,11030
SALE,IMMEUBLE DES ENSEIGNANTS,11030
SALE,IMMEUBLE TOUARGUA,11030
SALE,QUARTIER 11,11030
SALE,QUARTIER 12,11030
SALE,QUARTIER 13,11030
SALE,QUARTIER 14,11030
SALE,QUARTIER 15,11030
SALE,QUARTIER 16,11030
SALE,QUARTIER 17,11030
SALE,QUARTIER 18,11030
SALE,QUARTIER 19,11030
SALE,QUARTIER 20,11030
SALE,QUARTIER 21,11030
SALE,QUARTIER 22,11030
SALE,QUARTIER 23,11030
SALE,QUARTIER ANDALOUS,11030
SALE,QUARTIER DESSERTE RURALE,11030
SALE,QUARTIER IDAFI 11,11030
SALE,QUARTIER WAHDA,11030
SALE,SECTEUR 10,11030
SALE,SECTEUR 11,11030
SALE,SECTEUR 11 EXTENSION,11030
SALE,SECTEUR 12,11030
SALE,SECTEUR 12 EXTENSION,11030
SALE,SECTEUR 2,11030
SALE,SECTEUR 3,11030
SALE,SECTEUR 4,11030
SALE,SECTEUR 5,11030
SALE,SECTEUR 6,11030
SALE,SECTEUR 7,11030
SALE,SECTEUR 8,11030
SALE,SECTEUR 9,11030
SALE,BLED LARGO,11040
SALE,HAY EL MOUHAMMADI,11040
SALE,HAY MOHAMMAD AL KHAMIS,11040
SALE,LOT EL MOUNTAZAH,11040
SALE,LOT LILYS,11040
SALE,LOT ZANFARI,11040
SALE,QUARTIER AL MOSTAKBAL,11040
SALE,QUARTIER AMMAR,11040
SALE,QUARTIER BAB SLA,11040
SALE,QUARTIER BARAKA,11040
SALE,QUARTIER BETTANA,11040
SALE,QUARTIER BODOUR,11040
SALE,QUARTIER EL KHARROUBA,11040
SALE,QUARTIER GRIL,11040
SALE,QUARTIER HAMMAM CHERKAOUI,11040
SALE,QUARTIER IDRISS 2,11040
SALE,QUARTIER JNANE BETTANA,11040
SALE,QUARTIER KAIR,11040
SALE,QUARTIER MARINETTE,11040
SALE,QUARTIER MEFTAHESSAADA,11040
SALE,QUARTIER MOULINE,11040
SALE,QUARTIER MOUNIRA,11040
SALE,QUARTIER RIAD,11040
SALE,QUARTIER ROKIA,11040
SALE,QUARTIER SAYAD,11040
SALE,QUARTIER UNION AFRICAINE,11040
SALE,QUARTIER WAHDA,11040
SALE,QUARTIER WAFAA,11040
SALE,RESIDENCE BAB SALA,11040
SALE,QUARTIER SIDI ABDELLAH,11050
SALE,LOT CHERKAOUI,11060
SALE,QUARTIER AL MOSTAKBAL,11060
SALE,QUARTIER CHERQUAOUI,11060
SALE,QUARTIER DIAR 3,11060
SALE,QUARTIER EL AYYADIA,11060
SALE,QUARTIER EL MKINSSIA,11060
SALE,QUARTIER ESSMAHIA,11060
SALE,QUARTIER HORS BAB CHAAFA,11060
SALE,QUARTIER HORS BAB SEBTA,11060
SALE,QUARTIER HORS LAKOUASS,11060
SALE,QUARTIER SIDI MOUSSA,11060
SALE,SANIAT BOUCHAARA 2,11060
SALE,SANIAT EL GHRABLIA,11060
SALE,SANIAT EL HAJ EL MAATI,11060
SALE,SANIAT HAMMAM,11060
SALE,SANIAT TALBI,11060
SALE,HAY ERRAHMA,11070
SALE,LOT ANNASSIM,11070
SALE,LOT ARGUANA,11070
SALE,LOT OUED EDDHAB,11070
SALE,QUARTIER BEN DAOUD,11070
SALE,QUARTIER FATIHA,11070
SALE,SECTEUR A,11070
SALE,SECTEUR B,11070
SALE,SECTEUR C,11070
SALE,SECTEUR D,11070
SALE,BLED BELBARAKA,11080
SALE,DIOUR LAMKHAZNIA,11080
SALE,DOUAR HAJ MOHAMED TOUIL,11080
SALE,HAY INBIAAT,11080
SALE,HAY LINBIAT CHARKIA,11080
SALE,QUARTIER ABDERRAHIM BOUABID,11080
SALE,QUARTIER DE LA BASE AERIENNE,11080
SALE,QUARTIER DOUR LAMKHAZNIA,11080
SALE,BLED ABDELMOULA,11090
SALE,BLED BELAROUSSI,11090
SALE,BLED BENACHIR,11090
SALE,DOUAR ESSAHLI,11090
SALE,HAY ENNAHDA,11090
SALE,HAY OUED EDDAHAB,11090
SALE,QUARTIER EJNANE,11090
SALE,QUARTIER EL HAOUAT,11090
SALE,QUARTIER OUED EDDAHAB,11090
SALE,SECTEUR AL OUIAME,11090
SALE,SECTEUR ALQODS,11090
SALE,QUARTIER ABDERRAHMAN BOURI,11100
SALE,QUARTIER SALA ALJADIDA 1,11100
SALE,ZONE A,11100
SALE,ZONE B,11100
SALE,ZONE C,11100
SALE,ZONE D,11100
SALE,ZONE E,11100
SALE,ZONE J,11100
SALE,ZONE K,11100
SALE,ZONE R,11100
SALE,ZONE T,11100
SALE,ZONE V,11100
SALE,ZONE W1,11100
SALE,QUARTIER AL KHAIR,11110
SALE,QUARTIER BAYTI 1,11110
SALE,QUARTIER BAYTI 2,11110
SALE,QUARTIER BAYTI 3,11110
SALE,QUARTIER BAYTI 4,11110
SALE,QUARTIER BAYTI 5,11110
SALE,QUARTIER SALA ALJADIDA 2,11110
SALE,QUARTIER SALE,11110
SALE,QUARTIER AL BASSATINE,11110
SALE,QUARTIER AL FARAH,11110
SALE,QUARTIER AL KHEIR,11110
SALE,RESIDENCE BELLE VUE,11110
SALE,RESIDENCE DES ENSEIGNANTS,11110
SALE,RESIDENCE NAILA,11110
SALE,ZONE G,11110
SALE,ZONE H,11110
SALE,ZONE N,11110
SALE,ZONE O,11110
SALE,ZONE P,11110
SALE,ZONE VILLAS,11110
SALE,ZONE VILLAS DE 1 A 1234,11110
SALE,DOUAR BENMESSAOUD,11120
SALE,HAY EL AMAL ,11120
SALE,HAY EL KIFAH 1,11120
SALE,HAY EL KIFAH 2,11120
SALE,HAY EL WAHDA,11120
SALE,HAY ENNASR,11120
SALE,HAY ESSAFAE,11120
SALE,QUARTIER CHERIF,11120
SALE,QUARTIER FATH EL KHIR,11120
SALE,QUARTIER KATKOUT,11120
SALE,QUARTIER LAGOUIRA,11120
SALE,QUARTIER OULAD MOUSSA EST,11120
SALE,QUARTIER ROUED,11120
SALE,QUARTIER SAFA II,11120
SALE,QUARTIER SAMIR,11120
SALE,KARIAT OULAD MOUSSA OUEST,11130
SALE,LOT EL AMAL,11130
SALE,LOT EL WAFAE,11130
SALE,QUARTIER AL WAFE,11130
SALE,QUARTIER EL BARAKA 1,11130
SALE,QUARTIER EL BARAKA 2,11130
SALE,QUARTIER EL FARAH,11130
SALE,QUARTIER EL WAFAE,11130
SALE,QUARTIER ERRACHAD,11130
SALE,SECTEUR 1,11130
SALE,QUARTIER 11 JANVIER,11150
SALE,QUARTIER BAB BOUHAJA,11150
SALE,QUARTIER BAB CHAAFA,11150
SALE,QUARTIER BAB HSAIN,11150
SALE,QUARTIER BAB SEBTA,11150
SALE,QUARTIER BENCHAABANE,11150
SALE,QUARTIER BLIDA,11150
SALE,QUARTIER BOUTOUL,11150
SALE,QUARTIER CHELLALINE,11150
SALE,QUARTIER EL BACHA SBIHI,11150
SALE,QUARTIER EL HAMMAM JDID,11150
SALE,QUARTIER EL HARRARINE,11150
SALE,QUARTIER EL HOUCH,11150
SALE,QUARTIER GALZIME,11150
SALE,QUARTIER HRARTA,11150
SALE,QUARTIER KARDOUNA,11150
SALE,QUARTIER LAFKIH AHMED BEN ABDENBI,11150
SALE,QUARTIER MAANINOU,11150
SALE,QUARTIER MEDINA,11150
SALE,QUARTIER MELLAH,11150
SALE,QUARTIER MELLAH JDID,11150
SALE,QUARTIER MOSTAPHA KANDIL,11150
SALE,QUARTIER NAKHLA,11150
SALE,QUARTIER OUARGHA,11150
SALE,QUARTIER OUED BAHT,11150
SALE,QUARTIER OUED LOUKOUS,11150
SALE,QUARTIER OUED SBOU,11150
SALE,QUARTIER RMEL,11150
SALE,QUARTIER SABOUNJI,11150
SALE,QUARTIER SAF,11150
SALE,QUARTIER SEBTA,11150
SALE,QUARTIER SIDI IDDER,11150
SALE,QUARTIER TALBIA,11150
SALE,QUARTIER ZANATA,11150
SALE,QUARTIER ZOUAOUI,11150
SALE,SANIAT EL MANSOURI,11150
SALE,SANIAT HAMDOUCH,11150
SALE,SANIAT TOUHAMA,11150
SALE,SOUK LAGHZEL,11150
SALE,SOUK LAKBIR,11150
SALE,ZONE ML,11150
SALE,HAY CHEMAOU,11160
SALE,HAY ENNASR,11160
SALE,LOT BACHIR 2,11160
SALE,LOT LALLA MERIEM,11160
SALE,LOT SAID HAJJI,11160
SALE,LOT YOUSRAT ET ZARKA,11160
SALE,QUARTIER 39875,11160
SALE,QUARTIER AL JAZIRA,11160
SALE,QUARTIER AL MAJD,11160
SALE,QUARTIER ALAMI ALAOUI,11160
SALE,QUARTIER ATTANFID,11160
SALE,QUARTIER BACHIR II,11160
SALE,QUARTIER BANAISSA SAYAD,11160
SALE,QUARTIER BNNANI,11160
SALE,QUARTIER BOUFALJA,11160
SALE,QUARTIER CHARAF,11160
SALE,QUARTIER DADDA,11160
SALE,QUARTIER EL JOUHARI,11160
SALE,QUARTIER EL KADIRI,11160
SALE,QUARTIER ENNASSR,11160
SALE,QUARTIER ERRACHID,11160
SALE,QUARTIER FADLALLAH,11160
SALE,QUARTIER INDUSTRIEL ROUTE KENITRA,11160
SALE,QUARTIER JNANE HASSAR,11160
SALE,QUARTIER JNANE JBILOU,11160
SALE,QUARTIER KOUTOUBIA,11160
SALE,QUARTIER KOUTOUBIA I,11160
SALE,QUARTIER LAMDAGHRI,11160
SALE,QUARTIER MABROUKA,11160
SALE,QUARTIER MAHDI,11160
SALE,QUARTIER MANAR,11160
SALE,QUARTIER MANSOURI,11160
SALE,QUARTIER MAROUANE,11160
SALE,QUARTIER MARZOUKA,11160
SALE,QUARTIER NAJJARIA,11160
SALE,QUARTIER RABIA,11160
SALE,QUARTIER RACHID DOUIBI,11160
SALE,QUARTIER SANABIL,11160
SALE,QUARTIER SBIHI,11160
SALE,QUARTIER SOFIA 3,11160
SALE,QUARTIER SOFIA I,11160
SALE,QUARTIER SOFIA II,11160
SALE,QUARTIER WIAM,11160
SALE,QUARTIER YASMINE,11160
SALE,QUARTIER ZOHOUR,11160
SALE,QUARTIER AIN MZIZO,11190
TEMARA,CENTRE VILLE,12000
TEMARA,DAR HMAD,12000
TEMARA,DOUAR SI LAMINE,12000
TEMARA,LOT ABOU ARABE,12000
TEMARA,LOT ANNE MARIE 4,12000
TEMARA,LOT AZIZA,12000
TEMARA,LOT BEN YOUSSEF,12000
TEMARA,LOT CHKAIL ET MOUNIR,12000
TEMARA,LOT EL FENNE,12000
TEMARA,LOT FATH,12000
TEMARA,LOT HACHMIA 3,12000
TEMARA,LOT HARTIA,12000
TEMARA,LOT MADOIZE,12000
TEMARA,LOT MAGINTAA,12000
TEMARA,LOT MARIE IDDA,12000
TEMARA,LOT MELK ALLAH,12000
TEMARA,LOT NAJAH,12000
TEMARA,LOT NAMSIA LAZREK,12000
TEMARA,LOT PARC ROZE,12000
TEMARA,LOT SALAM,12000
TEMARA,LOT TALAA 10,12000
TEMARA,LOT TALAA 3,12000
TEMARA,LOT TALAA 6,12000
TEMARA,LOT TALAA 8,12000
TEMARA,LOT TALAA8,12000
TEMARA,LOT WAHDA NAMSIA,12000
TEMARA,LOT WIFAKIA,12000
TEMARA,QUARTIER AL GHAZALI,12000
TEMARA,QUARTIER AL HARTIA NEMSSIA,12000
TEMARA,QUARTIER AL MOUSTAKBAL,12000
TEMARA,QUARTIER ANGEL 6,12000
TEMARA,QUARTIER BERGOULA,12000
TEMARA,QUARTIER BOUBKER I,12000
TEMARA,QUARTIER CHÂTEAU 1,12000
TEMARA,QUARTIER CHÂTEAU 2,12000
TEMARA,QUARTIER CIGAL CIGALON,12000
TEMARA,QUARTIER COMATRAVE 1,12000
TEMARA,QUARTIER EL FADLIA,12000
TEMARA,QUARTIER EL KESBAH,12000
TEMARA,QUARTIER EL MKITIA 1,12000
TEMARA,QUARTIER EL MKITIA 2,12000
TEMARA,QUARTIER EL WAFAE,12000
TEMARA,QUARTIER ESSAADA,12000
TEMARA,QUARTIER FATH,12000
TEMARA,QUARTIER FONCTIONNAIRES DE SANTE,12000
TEMARA,QUARTIER HAMIDATE,12000
TEMARA,QUARTIER HAMMADI,12000
TEMARA,QUARTIER HATEM,12000
TEMARA,QUARTIER JEAN MARRY,12000
TEMARA,QUARTIER KASBA,12000
TEMARA,QUARTIER KENZA,12000
TEMARA,QUARTIER LAZRAK,12000
